node_id,node_x,node_y,from_segment_id,to_segment_id,from_original_edge_id,to_original_edge_id,from_fclass,to_fclass,from_name,to_name,from_ref,to_ref,from_bridge,to_bridge,from_tunnel,to_tunnel,from_layer,to_layer,turn_angle_deg,same_nonempty_name_or_ref,review_decision,formal_graph_repaired
39772,662856.273,3540547.899,191410068_000028,1481050039_000007,191410068,1481050039,unclassified,unclassified,,,,,False,False,False,False,0.0,-1.0,85.78775509926697,False,suspicious_grade_jump,False
39772,662856.273,3540547.899,191410068_000029,1481050039_000007,191410068,1481050039,unclassified,unclassified,,,,,False,False,False,False,0.0,-1.0,94.20972183786442,False,suspicious_grade_jump,False
39774,662801.311,3540588.575,191410068_000030,1481050039_000001,191410068,1481050039,unclassified,unclassified,,,,,False,False,False,False,0.0,-1.0,92.68910284438388,False,suspicious_grade_jump,False
39774,662801.311,3540588.575,191410068_000031,1481050039_000001,191410068,1481050039,unclassified,unclassified,,,,,False,False,False,False,0.0,-1.0,87.31343750864801,False,suspicious_grade_jump,False
39966,663177.723,3540681.931,191415137_000018,863540503_000001,191415137,863540503,footway,footway,,,,,False,False,False,True,0.0,-1.0,79.88976941865731,False,suspicious_grade_jump,False
39990,661000.744,3542179.031,191420688_000001,191420689_000008,191420688,191420689,footway,tertiary,,扬子江大道,,,True,False,False,False,1.0,0.0,101.82198765330315,False,suspicious_grade_jump,False
39990,661000.744,3542179.031,191420688_000001,191420689_000009,191420688,191420689,footway,tertiary,,扬子江大道,,,True,False,False,False,1.0,0.0,78.11055288314908,False,suspicious_grade_jump,False
39990,661000.744,3542179.031,191420688_000002,191420689_000008,191420688,191420689,footway,tertiary,,扬子江大道,,,True,False,False,False,1.0,0.0,78.16420316777561,False,suspicious_grade_jump,False
39990,661000.744,3542179.031,191420688_000002,191420689_000009,191420688,191420689,footway,tertiary,,扬子江大道,,,True,False,False,False,1.0,0.0,101.90325629577217,False,suspicious_grade_jump,False
39993,661081.388,3542157.26,191420688_000004,191420692_000001,191420688,191420692,footway,footway,,,,,True,False,False,False,1.0,0.0,53.436597589453015,False,suspicious_grade_jump,False
39994,661080.034,3542146.626,191420688_000005,833731108_000018,191420688,833731108,footway,primary,,河西大街,,,True,False,False,False,1.0,0.0,83.38809417525775,False,suspicious_grade_jump,False
39994,661080.034,3542146.626,191420688_000005,833731108_000019,191420688,833731108,footway,primary,,河西大街,,,True,False,False,False,1.0,0.0,55.92948282930857,False,suspicious_grade_jump,False
